class overall buried surface lipid_facing interfacial aqueous efxn
polar -0.442 -1.182 0.064 -14.334 2.37 0.137 m18_humans_DMPC
nonpolar 1.04 1.291 -2.191 -2.232 -3.103 -2.686 m18_humans_DMPC
special -1.839 -1.617 -2.568 -13.947 -1.261 -12.903 m18_humans_DMPC
aromatic -0.705 -1.125 -0.768 -0.844 -1.709 -0.912 m18_humans_DMPC
charged -1.711 -5.622 -0.731 -1.466 -14.358 -0.259 m18_humans_DMPC
polar -1.048 -1.86 -0.458 -3.065 -1.207 -0.119 m18_all_DLPC
nonpolar 1.248 1.156 -1.041 -1.666 -0.367 -1.16 m18_all_DLPC
special -0.648 -0.955 -1.545 -3.184 -0.665 -1.326 m18_all_DLPC
aromatic -0.448 -1.175 -0.314 0.515 -0.596 -1.046 m18_all_DLPC
charged -1.571 -4.108 -0.655 -2.147 -2.562 -0.245 m18_all_DLPC
polar -0.702 -1.721 -0.076 -14.17 1.886 -0.06 m18_humans_DLPC
nonpolar 1.243 1.536 -2.173 -2.673 -1.907 -2.442 m18_humans_DLPC
special -1.49 -1.277 -2.528 -12.142 -1.435 -13.197 m18_humans_DLPC
aromatic -0.596 -1.32 -0.479 -0.121 -1.05 -1.101 m18_humans_DLPC
charged -1.872 -6.769 -0.737 -13.305 -13.396 -0.306 m18_humans_DLPC
